edeva_code,economic_dev_area_name_english,economic_dev_area_name_indonesia,main_dev_id
EDA-I,Economic Development Area I,Wilayah Pembangunan Ekonomi I,MDZ-A
EDA-II,Economic Development Area II,Wilayah Pembangunan Ekonomi II,MDZ-A
EDA-III,Economic Development Area III,Wilayah Pembangunan Ekonomi III,MDZ-B
EDA-IV,Economic Development Area IV,Wilayah Pembangunan Ekonomi IV,MDZ-B
EDA-V,Economic Development Area V,Wilayah Pembangunan Ekonomi V,MDZ-B
EDA-VI,Economic Development Area VI,Wilayah Pembangunan Ekonomi VI,MDZ-C
EDA-VII,Economic Development Area VII,Wilayah Pembangunan Ekonomi VII,MDZ-C
EDA-VIII,Economic Development Area VIII,Wilayah Pembangunan Ekonomi VIII,MDZ-D
EDA-IX,Economic Development Area IX,Wilayah Pembangunan Ekonomi IX,MDZ-D
EDA-X,Economic Development Area X,Wilayah Pembangunan Ekonomi X,MDZ-D
