time_code,time_period,quarter_period,year_id
31032010,2010-03-31,2010Q1,Y10
30062010,2010-06-30,2010Q2,Y10
30092010,2010-09-30,2010Q3,Y10
31122010,2010-12-31,2010Q4,Y10
31032011,2011-03-31,2011Q1,Y11
30062011,2011-06-30,2011Q2,Y11
30092011,2011-09-30,2011Q3,Y11
31122011,2011-12-31,2011Q4,Y11
31032012,2012-03-31,2012Q1,Y12
30062012,2012-06-30,2012Q2,Y12
30092012,2012-09-30,2012Q3,Y12
31122012,2012-12-31,2012Q4,Y12
31032013,2013-03-31,2013Q1,Y13
30062013,2013-06-30,2013Q2,Y13
30092013,2013-09-30,2013Q3,Y13
31122013,2013-12-31,2013Q4,Y13
31032014,2014-03-31,2014Q1,Y14
30062014,2014-06-30,2014Q2,Y14
30092014,2014-09-30,2014Q3,Y14
31122014,2014-12-31,2014Q4,Y14
31032015,2015-03-31,2015Q1,Y15
30062015,2015-06-30,2015Q2,Y15
30092015,2015-09-30,2015Q3,Y15
31122015,2015-12-31,2015Q4,Y15
31032016,2016-03-31,2016Q1,Y16
30062016,2016-06-30,2016Q2,Y16
30092016,2016-09-30,2016Q3,Y16
31122016,2016-12-31,2016Q4,Y16
31032017,2017-03-31,2017Q1,Y17
30062017,2017-06-30,2017Q2,Y17
30092017,2017-09-30,2017Q3,Y17
31122017,2017-12-31,2017Q4,Y17
31032018,2018-03-31,2018Q1,Y18
30062018,2018-06-30,2018Q2,Y18
30092018,2018-09-30,2018Q3,Y18
31122018,2018-12-31,2018Q4,Y18
31032019,2019-03-31,2019Q1,Y19
30062019,2019-06-30,2019Q2,Y19
30092019,2019-09-30,2019Q3,Y19
31122019,2019-12-31,2019Q4,Y19
31032020,2020-03-31,2020Q1,Y20
30062020,2020-06-30,2020Q2,Y20
30092020,2020-09-30,2020Q3,Y20
31122020,2020-12-31,2020Q4,Y20
31032021,2021-03-31,2021Q1,Y21
30062021,2021-06-30,2021Q2,Y21
30092021,2021-09-30,2021Q3,Y21
31122021,2021-12-31,2021Q4,Y21
31032022,2022-03-31,2022Q1,Y22
30062022,2022-06-30,2022Q2,Y22
30092022,2022-09-30,2022Q3,Y22
31122022,2022-12-31,2022Q4,Y22
31032023,2023-03-31,2023Q1,Y23
30062023,2023-06-30,2023Q2,Y23
30092023,2023-09-30,2023Q3,Y23
31122023,2023-12-31,2023Q4,Y23
31032024,2024-03-31,2024Q1,Y24
30062024,2024-06-30,2024Q2,Y24
30092024,2024-09-30,2024Q3,Y24
31122024,2024-12-31,2024Q4,Y24
